# Size Bandwidth(B/s)
1                       0.13e6
2                       0.27e6
4                       0.54e6
8                       1.08e6
16                      2.15e6
32                      4.27e6
64                      8.47e6
128                    16.85e6
256                    33.51e6
512                    67.09e6
1024                  312.66e6
2048                  623.28e6
4096                 1243.06e6
8192                 2465.91e6
16384                4921.15e6
32768                9770.16e6
65536               18432.64e6
131072              33509.94e6
262144              58175.06e6
524288              93885.56e6
1048576            129575.66e6
2097152            155414.99e6
4194304            165600.20e6
8388608            171833.95e6
16777216           174637.42e6
33554432           176084.09e6
67108864           176888.27e6
