# Size Bandwidth(B/s)
1                0.12e6
2                0.25e6
4                0.48e6
8                0.98e6
16               1.94e6
32               3.92e6
64               7.94e6
128             14.98e6
256             31.07e6
512             61.43e6
1024           119.67e6
2048           241.26e6
4096           429.31e6
8192           399.57e6
16384          792.46e6
32768         1578.40e6
65536         3124.59e6
131072        5884.11e6
262144       11231.34e6
524288       19628.00e6
1048576      33264.52e6
2097152      48543.87e6
4194304      64188.29e6
8388608      76514.84e6
16777216     84385.37e6
33554432     88669.60e6
67108864     91257.32e6
