# Size Bandwidth(B/s)
1                       0.03e6
2                       0.06e6
4                       0.13e6
8                       0.26e6
16                      0.53e6
32                      1.06e6
64                      2.12e6
128                     4.19e6
256                     8.41e6
512                    16.91e6
1024                   40.97e6
2048                   81.73e6
4096                  162.32e6
8192                  322.77e6
16384                 643.77e6
32768                1272.71e6
65536                2488.46e6
131072               4814.73e6
262144               9145.92e6
524288              16540.49e6
1048576             28185.33e6
2097152             44078.42e6
4194304             59830.63e6
8388608             73082.26e6
16777216            81857.39e6
33554432            87577.29e6
67108864            90450.37e6
