# Size Latency(us)
1                8.76
2                8.43
4                8.37
8                8.47
16               8.37
32               8.52
64               8.78
128              8.58
256              8.82
512              8.50
1024             8.82
2048             8.71
4096             9.36
8192            20.62
16384           20.26
32768           20.68
65536           21.26
131072          21.49
262144          22.97
524288          25.36
1048576         31.60
2097152         42.26
4194304         65.43
8388608        109.73
16777216       199.24
33554432       378.05
67108864       735.89
