# Size Latency(us)
1                      18.17
2                      18.10
4                      18.11
8                      18.13
16                     18.35
32                     18.35
64                     18.46
128                    18.61
256                    19.22
512                     9.68
1024                    9.79
2048                   10.09
4096                   10.77
8192                   11.42
16384                  12.54
32768                  14.55
65536                  17.29
131072                 22.75
262144                 34.12
524288                 56.39
1048576               100.70
2097152               188.20
4194304               363.00
8388608               714.83
16777216             1414.51
33554432             3357.35
67108864             6668.94
