# Size Bandwidth(B/s)
1                0.11e6
2                0.23e6
4                0.42e6
8                0.88e6
16               1.86e6
32               3.55e6
64               7.06e6
128             14.31e6
256             28.14e6
512             55.77e6
1024           104.77e6
2048           220.92e6
4096           398.94e6
8192           518.88e6
16384          960.20e6
32768         1750.20e6
65536         2866.89e6
131072        4928.47e6
262144        6914.90e6
524288        8847.63e6
1048576      10146.86e6
2097152      11156.18e6
4194304      11650.10e6
8388608      11800.42e6
16777216     12047.38e6
33554432     11370.93e6
67108864     10587.09e6
