# Size Bandwidth(B/s)
1                0.02e6
2                0.04e6
4                0.07e6
8                0.15e6
16               0.29e6
32               0.58e6
64               1.15e6
128              2.20e6
256              4.48e6
512              9.31e6
1024            18.29e6
2048            37.28e6
4096            73.11e6
8192           130.11e6
16384          245.27e6
32768          454.41e6
65536          878.42e6
131072        1471.03e6
262144        2652.14e6
524288        4348.65e6
1048576       6292.13e6
2097152       8235.60e6
4194304       9846.21e6
8388608      10855.53e6
16777216     11370.93e6
33554432     10909.22e6
67108864     10286.45e6
