# Size Bandwidth(B/s)
1                       0.11e6
2                       0.21e6
4                       0.42e6
8                       0.85e6
16                      1.65e6
32                      3.40e6
64                      6.80e6
128                    13.61e6
256                    26.13e6
512                   102.19e6
1024                  204.77e6
2048                  397.81e6
4096                  732.81e6
8192                 1394.89e6
16384                2572.04e6
32768                4271.94e6
65536                7518.33e6
131072              11155.59e6
262144              14053.89e6
524288              15886.83e6
1048576             15982.74e6
2097152             18299.32e6
4194304             18713.68e6
8388608             18576.39e6
16777216            18936.18e6
33554432            16499.92e6
67108864            16532.26e6
