# Size Latency(us)
1             54.68
2             55.48
4             55.38
8             54.19
16            57.71
32            55.29
64            55.44
128           54.17
256           55.38
512           58.16
1024          59.88
2048          56.10
4096          57.35
8192          65.99
16384         69.87
32768         70.27
65536         73.89
131072        86.67
262144       100.30
524288       121.61
1048576      167.90
2097152      257.54
4194304      428.30
8388608      774.10
16777216     1.48e3
33554432     3.07e3
67108864     6.52e3
