# Size Latency(us)
1                      14.66
2                      14.58
4                      14.54
8                      14.59
16                     14.63
32                     14.65
64                     14.71
128                    14.74
256                    14.77
512                    14.83
1024                    9.68
2048                    9.68
4096                    9.79
8192                    9.89
16384                  10.07
32768                  10.11
65536                  10.68
131072                 11.65
262144                 13.15
524288                 15.73
1048576                21.29
2097152                32.28
4194304                54.71
8388608                99.02
16777216              187.59
33554432              366.31
67108864              723.12
