# Size Latency(us)
1             9.12
2            10.43
4             8.61
8             8.61
16            9.32
32            8.82
64            9.27
128           9.15
256           9.03
512           9.24
1024          9.57
2048          9.78
4096          9.98
8192         15.74
16384        16.63
32768        18.70
65536        21.60
131072       28.30
262144       38.02
524288       60.05
1048576     102.89
2097152     188.16
4194304     359.79
8388608     703.70
16777216    1.39e3
33554432    2.94e3
67108864    6.30e3
